vendor,total,months_active,monthly_totals,suggested_account,confidence,reason
"The Luxury Collection","$25,000.00",1,"2026-02: $25,000.00","",CORRECTED,"corrected 2026-07-10 per Xoro GL truth (CEO-verified in the Xoro UI): $25,000 is an auto-lease payment -> 6327 Equipment Rental, not a vendor deposit. Correction JE dated 2026-02-28 (PR #1685); nothing left in 8007/1308"
"Anhui Taihe Jiarun Garment Co Ltd","$14,012.64",1,"2024-08: $14,012.64","",NET-ZERO,"ROF-B001818 $14,012.64 (opening backfill 2024-08-31) settled 100% by discount — relief CR 5005 offsets exactly"
"Franchise Tax Board","$8,486.00",1,"2024-10: $8,486.00","",FLAG,"income/franchise tax — expense vs equity treatment is a CPA call"
"Tao Rodriguez / Maria Villarreal (MOM's bank info for pymt)","$7,047.90",4,"2024-08: $1,186.42; 2024-11: $2,507.27; 2024-12: $1,095.79; 2025-11: $2,258.42","",FLAG,"related-party payment routing — CEO classify"
"Valley Bank","$4,628.67",4,"2024-09: $1,213.90; 2024-10: $929.37; 2025-02: $1,304.64; 2025-04: $1,180.76","",FLAG,"bank — fees vs loan principal unverifiable from bill data"
"Accordia Life and Annuity Company","$4,266.00",6,"2025-01: $711.00; 2025-02: $711.00; 2025-05: $711.00; 2025-08: $711.00; 2025-11: $711.00; 2026-02: $711.00","",FLAG,"life insurance — possibly officer life / non-deductible"
"American General Life Insurance Company","$3,583.86",6,"2024-12: $597.31; 2025-03: $597.31; 2025-06: $597.31; 2025-09: $597.31; 2025-12: $597.31; 2026-03: $597.31","",FLAG,"life insurance — possibly officer life / non-deductible"
"Lanny K.W. Inc.","$3,137.50",2,"2025-12: $1,025.00; 2026-03: $2,112.50","",INVENTORY?,"inventory-suspect, awaiting CEO confirmation — real invoices Am751A/787A/788A, paid"
"Banner Life Insurance Company","$2,974.40",4,"2024-10: $743.60; 2025-01: $743.60; 2025-05: $743.60; 2025-07: $743.60","",FLAG,"life insurance — possibly officer life / non-deductible"
"iWin Group Corp.","$2,725.00",2,"2026-03: $2,375.00; 2026-05: $350.00","",INVENTORY?,"inventory-suspect, awaiting CEO confirmation — 5 real invoices IWOI-#####, paid"
"IDC","$1,825.84",1,"2024-09: $1,825.84","",LOW,"no confident name match — CEO classify"
"RMS","$1,348.25",2,"2025-06: $397.67; 2025-07: $950.58","",LOW,"no confident name match — CEO classify"
"Bien Roulee Fashion","$1,200.00",2,"2026-01: $760.00; 2026-02: $440.00","",INVENTORY?,"inventory-suspect, awaiting CEO confirmation — apparel vendor — 2 real paid invoices"
"Aztlan Trading Inc.","$810.00",1,"2026-05: $810.00","",INVENTORY?,"inventory-suspect, awaiting CEO confirmation — real invoice 10280, paid"
"Daughter Santiago","$225.00",1,"2025-06: $225.00","",LOW,"no confident name match — CEO classify"
"Third Street Prom","$110.35",1,"2024-10: $110.35","",LOW,"no confident name match — CEO classify"
"SkinSafe Dermatology and Skin Care","$65.00",1,"2026-01: $65.00","",LOW,"no confident name match — CEO classify"
"Shop Number 2","$34.35",1,"2025-06: $34.35","",LOW,"no confident name match — CEO classify"
"Brothers Products","$28.50",1,"2025-08: $28.50","",LOW,"no confident name match — CEO classify"
"39th and 7th Shop Number 2","$21.26",1,"2025-01: $21.26","",LOW,"no confident name match — CEO classify"
"Keith R Brookenthal MD","$10.00",1,"2025-06: $10.00","",LOW,"no confident name match — CEO classify"
"Mass Apparel International","$0.70",1,"2024-08: $0.70","",NET-ZERO,"ROF-B001815 $0.70 settled by vendor credit — offsets exactly"
